,Address,ADDRESBR,STALPBR,ZIPBR,x,y,STATE,GEOID,BLOCK,TRACT
215,"4843 North Kedzie Avenue, IL 60625",4843 North Kedzie Avenue,IL,60625,-87.708496,41.969284,NS,17,2004,140100
216,"4854 West Irving Park Road, IL 60641",4854 West Irving Park Road,IL,60641,,,,,,
217,"488 Liberty St, IL 60084",488 Liberty St,IL,60084,-88.15072,42.25733,NS,17,1007,864206
218,"489 North State Route 47, IL 60554",489 North State Route 47,IL,60554,,,,,,
219,"4911 South Illinois Highway 59, IL 60564",4911 South Illinois Highway 59,IL,60564,,,,,,
220,"50 Phelps Avenue, IL 60446",50 Phelps Avenue,IL,60446,,,,,,
221,"50 Skokie Boulevard, IL 60091",50 Skokie Boulevard,IL,60091,,,,,,
222,"500 Busse Hwy, IL 60068",500 Busse Hwy,IL,60068,-87.84111,42.01625,NS,17,3015,805501
223,"500 North Shady Oaks Drive, IL 60120",500 North Shady Oaks Drive,IL,60120,-88.25155,42.04657,NS,17,4024,804403
224,"500 West Maple, IL 60451",500 West Maple,IL,60451,-87.97754,41.516888,NS,17,1006,881111
225,"501 15th Street, IL 61265",501 15th Street,IL,61265,-90.51623,41.50614,NS,17,1079,022300
226,"5050 North Cumberland Avenue, IL 60706",5050 North Cumberland Avenue,IL,60706,-87.83666,41.97111,NS,17,4000,760803
227,"513 Central Avenue, IL 60035",513 Central Avenue,IL,60035,-87.798134,42.186077,NS,17,1007,865502
228,"5134 North Clark Street, IL 60640",5134 North Clark Street,IL,60640,,,,,,
229,"5137 South Pulaski Road, IL 60632",5137 South Pulaski Road,IL,60632,-87.723335,41.799576,NS,17,1016,620100
230,"520 Dunham Road, IL 60174",520 Dunham Road,IL,60174,-88.285355,41.922215,NS,17,2020,852004
231,"5200 Dempster St, IL 60077",5200 Dempster St,IL,60077,-87.75706,42.040855,NS,17,2023,807000
232,"534 West St. Charles Road, IL 60126",534 West St. Charles Road,IL,60126,,,,,,
233,"5341 N Lincoln Avenue, IL 60625",5341 N Lincoln Avenue,IL,60625,-87.69265,41.97899,NS,17,4015,040202
234,"5352 North Elston Avenue, IL 60630",5352 North Elston Avenue,IL,60630,-87.75713,41.97855,NS,17,3015,110501
235,"536 Randall Road, IL 60177",536 Randall Road,IL,60177,-88.340645,41.97488,NS,17,4005,852101
236,"549 North Mcclurg Court, IL 60611",549 North Mcclurg Court,IL,60611,-87.6177,41.8922,NS,17,1004,081402
237,"55 E Monroe, IL 60603",55 E Monroe,IL,60603,-87.62596,41.880787,NS,17,1007,320400
238,"55 South Main Street, Suite 175, IL 60540","55 South Main Street, Suite 175",IL,60540,-88.149475,41.774563,NS,17,1033,846504
239,"550 Crystal Point Drive + Rt 14, IL 60014",550 Crystal Point Drive + Rt 14,IL,60014,-88.31186,42.22543,NS,17,1042,871313
240,"550 West Adams Street, IL 60661",550 West Adams Street,IL,60661,-87.64213,41.87928,NS,17,3008,281900
241,"5520 West 159th Street, IL 60452",5520 West 159th Street,IL,60452,-87.75455,41.602936,NS,17,3000,825000
242,"5550 West Touhy Avenue, IL 60077",5550 West Touhy Avenue,IL,60077,-87.76617,42.01194,NS,17,2017,807800
243,"5606 West Montrose Avenue, IL 60634",5606 West Montrose Avenue,IL,60634,-87.7676,41.960484,NS,17,2015,150401
